Classificadas;Reais
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA FALSA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA FALSA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
TRANSFERE HUMANO;TRANSFERE HUMANO
TECNICO SINAL;TRANSFERE HUMANO
TECNICO SINAL;TECNICO SINAL
TECNICO SINAL;TRANSFERE HUMANO
TECNICO SINAL;TRANSFERE HUMANO
TRANSFERE HUMANO;TECNICO SINAL
TECNICO SINAL;TECNICO SINAL
TRANSFERE HUMANO;TECNICO SINAL
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA;RESPOSTA VERDADEIRA
RESPOSTA FALSA;RESPOSTA FALSA
RESPOSTA FALSA;RESPOSTA FALSA
RESPOSTA FALSA;RESPOSTA FALSA
PROBLEMA RESOLVIDO;DESISTÊNCIA
PROBLEMA RESOLVIDO;PROBLEMA RESOLVIDO
PROBLEMA RESOLVIDO;DESISTÊNCIA
PROBLEMA RESOLVIDO;RESPOSTA VERDADEIRA
PROBLEMA RESOLVIDO;DESISTÊNCIA
PROBLEMA RESOLVIDO;DESISTÊNCIA
DESISTÊNCIA;PROBLEMA RESOLVIDO
DESISTÊNCIA;PROBLEMA RESOLVIDO
DESISTÊNCIA;PROBLEMA RESOLVIDO
DESISTÊNCIA;PROBLEMA RESOLVIDO
DESISTÊNCIA;DESISTÊNCIA
DESISTÊNCIA;PROBLEMA RESOLVIDO
